Name,Address,Operation,Type,Explanation,Img
이사동 민속마을,대전 동구 이사로 102-21,00:00 ~ 24:00,Representativ attractions,"보문산 뒤편으로 넓은 계곡을 따라 형성된 이사동은 은진송씨 가문이 500년 전에 정착한 곳이다. 집성촌이었던 이사동은 세월이 흐르면서 자연스럽게 은진송씨 가문의 장지(葬地)로 가득찬 집장촌(集葬村)이 되었다. 마을 뒷산의 1,000여 기에 이르는 분묘와 다양한 석물들로 구성된 거대한 묘지군. 묘역을 지키는 7,000여 그루의 노송과 재실(齋室)이 묘지와 어우러져 하나의 잘 꾸며놓은 공원 같다. 예학을 중시한 우암 송시열을 배훌한 가문이어서 일까 잘 가꿔진 묘지군은 후손들의 조상에 대한 사랑과 감사를 엿볼 수 있다. 유네스코 세계유산에 등록된 조선 왕릉에 버금가는 묘지군과 500년간 자리를 지켜온 마을의 조화는 사대부의 생활상과 세계관을 관찰할 수 있다는 점에서 세계유산으로도 손색이 없는 장소라 할 수 있다.",https://daejeontour.co.kr/upload/atch/tourspot/20211222110334303.jpg
오-월드,대전 중구 사정공원로 70,09:30 ~ 18:00,Representativ attractions,"대전오월드는 ‘주랜드+플라워랜드+조이랜드+버드랜드+나이트유니버스’의 복합적인 공간으로 구성된 온 가족이 함께 즐길 수 있는 중부권 이남 최대 규모의 테마공원입니다. 주랜드에서는 오월드에서만 볼 수 있는 한국 늑대 사파리가 있으며, 버스 안에서 야생 동물을 생동감 있게 관람할 수 있는 아프리카 사파리와 그 외 다양한 동물들을 만나볼 수 있습니다. 자이언트드롭, 후룸라이드, 슈퍼바이킹 등 스릴 넘치는 놀이기구를 조이랜드에서 체험할 수 있으며, 꽃과 물과 빛이 어우러진 향기로운 꽃의 세계인 플라워랜드, 희귀새와 열대 정원이 어우러진 환상의 버드체험까지 즐길 수 있습니다. 또한, 다양한 디지털 미디어 장치와 흥미로운 스토리텔링을 더한 신비로운 나이트 유니버스에서 홀로그램쇼와 음악분수 워터쇼 등 환상적인 밤의 시간을 경험하실 수 있습니다.",https://daejeontour.co.kr/upload/atch/tourspot/20230228174318022.jpg
뿌리공원,대전 중구 뿌리공원로 79,"3월~10월 : 06:00~22:00, 11월~2월 : 07:00~21:00 / 연중무휴",Representativ attractions,"모든 사람들에게 자신의 뿌리를 알게하여 경로효친사상을 함양시키고 한겨레의 자손임을 일깨우기 위하여 세계 최초로 성씨를 상징하는 조형물을 세운 충효의 산 교육장이다. 자신의 뿌리를 되찾을 수 있는 성씨별 조형물과 사신도 및 12지지를 형상화한 뿌리 깊은 샘물, 각종행사를 할 수 있는 수변무대, 잔디광장과 공원을 한눈에 바라볼 수 있는 전망대, 팔각정자 뿐만 아니라 산림욕장, 자연관찰원 등 다양한 시설이 갖추어져 있다.주요시설로는 유치원생 및 초등학생이 이용가능한 미니모터카 30대(2인용) 및 교통표지판, 보행자신호등이 있는 교통안전교육장과 자연관찰로, 수목원, 산림욕장, 야생초화류단지가 있는 자연관찰원이 있다.성씨별 조각품설치 및 제막식, 도민친선대회, 어린이날행사, 경노행사, 수화노래공원, 찬양공연장, 애인은 내친구, 음악연주회 등 다양한 문화행사도 펼쳐지며 팔각정자(자산정), 밤나무단지, 산책로, 수변무대, 분수대, 만성보(라바댐) 등 볼거리가 많은 유익한 공원이다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127095333740.jpg
수운교천단,대전 유성구 자운로245번길 80,06:00 ~ 18:00,Historical attractions,"우리 민족종교 가운데 하나인 수운교는 일반에 널리 알려져 있지는 않다. 신도수가 전국적으로 6만명 가량 추산되고 있으며 폭넓은 사상과 근세기 종교사회상을 고스란히 간직하고 있다는 측면에서 그 가치는 매우 높다고 하겠다. 수운교의 상징으로 천단을 꼽을 수 있는데 천단은 수운교 본부가 있는 대전시 금병산 자락에 위치한 도솔천(대전시 유형문화재 제28호) 안에 조성되어 있다. 이 천단은 하나님을 숭배하는 곳으로 앞면 3칸, 옆면 2칸의 팔작지붕이다. 경내에는 광덕문, 종각 등이 있으며 봉령각, 법회당, 복지관, 사무실, 주차장이 마련되어 있다. 수운교 천단 바로 앞에는 자운 솔밭공원이 잘 조성되어 있어서 운동을 하고 산책과 휴식하기도 좋은 곳이다",https://daejeontour.co.kr/upload/atch/tourspot/20220127145854644.jpg
계족산성,대전 대덕구 산디로 79-70,09:00 ~ 24:00,Historical attractions,"대전시 장동 계족산(해발420m) 정상에서 능선을 따라 축조된 테뫼식 산성이다. 이 산성은 백제가 쌓은 것으로 알려져 왔으나, 1998∼99년 발굴을 통해 신라에서 쌓은 것으로 밝혀졌다. 산성의 높이는 약 7∼10m 가량 되며, 동·서·남쪽에 문터를 만들었다. 성 안에서 삼국시대에 만든 큰 우물터가 발견되었고, 성내 건물터에서는 고려시대 기와편과 조선시대 자기편이 발견되어 조선시대까지 사용되었음을 알 수 있다. 성쌓기 방법은 보은에 있는 신라 삼년산성(사적 제235호)과 같은 방식으로 쌓았다는 것이 발굴을 통해 밝혀졌고, 출토된 토기 중 가장 오래된 것이 6세기 중·후반의 신라토기임이 밝혀졌다. 이후에 나온 토기 형태도 백제계는 소수이며 다수의 신라계 토기가 보여, 한때 백제가 점령하긴 했지만 신라에 의해 만들어진 산성으로 조사되었다. 계족산성은 새로운 발굴 성과에 의해 신라가 쌓은 것으로 나타났으나 아직도 논란이 있으며, 6세기 중·후반 신라나 백제에 의해 만들어진 산성으로, 당시 대전지방이 가진 전략적 중요성을 보여준다",https://daejeontour.co.kr/upload/atch/tourspot/20220127174746107.bmp
미륵원,대전 동구 마산동 135-2,00:00 ~ 24:00,Historical attractions,"고려 말 회덕황씨 시조 황윤보가 건립한 ‘미륵원’은 서울과 영·호남을 연결하는 길목이었던 지금의 대청호 옆 마산동에 위치했다. 그의 후손들은 3대에 걸쳐 미륵원을 비영리로 운영하며 많은 선행을 베풀었다. 그 앞을 지나는 여행자들에게 무료로 숙식을 제공했고, 행처 없이 떠도는 노숙자들을 위해 구호활동을 벌이는 등 오늘날 민간 사회복지기관의 효시였다고 할 수 있다. 또한 후손들은 누각을 지어 이름을 남루(南樓)라고 짓고 여행객들이 더위를 피해 쉬어갈 수 있도록 했다. 황윤보 후손들의 선행은 모든 사람에게 칭송을 받았고, 후덕한 충청도의 인심이 널리 알려지는 계기가 되었다. 정인지·송시열 등 당대 명망있는 인물들도 이곳에 들러 칭찬하며 남긴 제영기(題詠記)를 미루어 볼 때 그 위상을 짐작할 수 있다. 미륵원은 대전지방에 있던 7개 원(院·역과 역 사이에 설치한 일종의 여관) 중 가장 오래되었고 유명했으며, 또 그 유적지를 파악할 수 있는 유일한 곳이라는 점에서 역사적인 가치가 매우 높다. 동·서 90m, 남·북 60m의 거대했던 터는 대청호에 수몰되어 그 웅장함을 볼 수 없지만 재실과 남루는 지금의 터에 복원돼 회덕황씨 가문의 선행을 느끼게 한다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127145028225.jpg
숭현서원,대전 유성구 엑스포로251번길 36,00:00 ~ 24:00,Historical attractions,"1992년에 대전광역시기념물 제27호로 지정된 숭현서원은 대전지역에서 최초로 창립된 서원이자, 최초로 사액을 받은 서원이다. 이 서원에는 수부 정광필, 충암 김정, 규암 송인수, 사계 김장생, 동춘 송준길, 우암 송시열, 죽창 이시직, 야은 송시영 등의 8명이 배향되었다. 이곳은 대원군의 서원 철폐령이 내려지던 때에 문을 닫았던 것을 다시 지은 것으로 예전의 유적은 그리 많이 남아 있진 않다. 선비들이 주변 풍경을 감상하며 시를 읊조렸던 숭현서원의 문루인 영귀루와 묘정비와 입교당, 입교당 뒤에는 8현을 모시는 사당이 있다. 옛 서원의 정취를 느끼고 싶다면 이곳 숭현서원을 답사해 보는 것도 좋을 것이다.",https://tong.visitkorea.or.kr/cms/resource/09/3065109_image2_1.JPG
회덕향교대성전,대전 대덕구 대전로1397번안길 126,00:00 ~ 24:00,Historical attractions,"조선초기에 세워진 회덕향교는 임진왜란때 불탄 것을 1600년 경에 다시 세웠고, 그 후 1812년 가을에 크게 고쳐지어 오늘에 이르고 있다. 조선시대에 현재의 대전 대덕구는 회덕현으로 편재되어 있었고, 읍내동은 당시 회덕현의 행정적 중심지였다. 회덕향교는 회덕관아(현 읍내동 회덕1동사무소 옆 공터 자리)에서 북쪽으로 400m 남짓한 산기슭에 남향으로 자리 잡고 있었다. 중국 5성(五聖 : 공자·안자·증자·자사·맹자)의 위패를 중앙에, 송조 4현(주돈이·정호·정이·주희), 한국 18현(설총·최치원·안유·정몽주·김굉필·조광조·이황·이이·송준길·조헌·송시열 등)의 위패를 동서 양쪽 벽에 배향하고 있다. 대성전에서는 음력 2월과 8월의 상정일(上丁日)에 지역 내의 헌관, 제관, 일반유림 등이 모여 석전제(釋奠祭)를 올린다. 명륜당은 정면 5칸·측면 2칸의 팔작지붕집으로 가운데 세 칸은 대청마루, 양측 각 한 칸은 온돌방이다.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEzef9eh4b9C_5QMeBQHX9U4Ur6tNSSR5QiA&s
쌍청당,대전 대덕구 쌍청당로 17,11:00 ~ 18:00,Historical attractions,"1989년 3월 18일 대전광역시유형문화재 제2호로 지정되었고, 고려 말 조선 초기에 부사정을 지낸 송유의 별당이다. 쌍청당이란 평소 송유와 교분이 두터웠던 박팽년이 지어준 당호인데, 청풍과 명월의 기상을 가슴에 새긴다는 의미가 내포되어 있다고 한다. 쌍청당은 화강암으로 쌓은 기단 위에 정면 3칸, 측면 2칸 크기로 세운 남서향 건물이다. 오른쪽 2칸은 대청이며 왼쪽 1칸은 온돌방이다. 그 북쪽으로 반 칸짜리 달림채를 두고 윗부분은 반침으로, 아래는 함실로 사용하였다. 모두 네모 기둥을 사용하여 직접 붓머리와 도리를 받쳤고 그 밑에 양봉형의 부재로 대들보를 지탱하였다. 원래의 모습을 잘 보존하고 있어 조선 초기의 건축 양식을 살펴볼 수 있는 대표적인 이 문화재는 은진송씨 종중에서 관리하고 있다.",https://www.heritage.go.kr/unisearch/images/tangible_cult_prop/thumb/2023030816543900.JPG
대전 소대헌ㆍ호연재 고택,대전 대덕구 동춘당로 70,00:00 ~ 24:00,Historical attractions,"대전광역시민속문화재 제2호로 지정되어 있는 이 건물은 동춘당 송준길의 둘째 손자 송병하(宋炳夏)가 분가하면서 거주하기 시작하여 현재 11대손까지 살고 있는 오래된 집이다. 일각대문을 들어서면 왼쪽에 큰 사랑채가 있고, 오른쪽에는 작은 사랑채가 있다. 작은 사랑채의 왼쪽에 나 있는 중문(中門)을 들어서면 ‘ㄱ’자형 평면에 네모뿔 모양의 주춧돌을 놓고 네모기둥을 세워 3량집으로 간결하게 꾸민 안채가 있다. 안채는 최근에 대청에 유리덧문을 달아 원형이 변경되었다. 안채 앞에 있는 작은 사랑은 앞면 8칸, 측면 2칸에 홑처마 팔작지붕의 일자형 건물로서 오른쪽 끝에는 한단 높은 툇마루를 두어 운치를 살렸다. 울타리 밖 오른쪽에는 한가운데 인공의 섬을 갖춘 큰 연못이 있어 풍치를 더해준다.",https://dapsa.kr/blog/wp-content/uploads/2023/09/%EB%8C%80%EC%A0%84_%EC%86%8C%EB%8C%80%ED%97%8C%C2%B7%ED%98%B8%EC%97%B0%EC%9E%AC_%EA%B3%A0%ED%83%9D.jpg
조선의 정원서재 송시열의 남간정사,대전 동구 충정로 53,00:00 ~ 24:00,Historical attractions,"우암 송시열(1607~1689)은 조선 성리학 역사에 한 획을 그은 인물로 공자, 주자와 같이 ‘송자(宋子)’로 존칭될 정도로 명망이 높았다. 남간정사는 조선 숙종 때 최고의 학자였던 송시열이 제자들을 가르치던 곳이다. 현재 우암사적공원 입구 옆에 위치한 남간정사는 남향 건물로 정면 4칸·측면 2칸으로 구성된 팔작지붕 집이다. 서쪽 정면 1칸·측면 2칸은 방이며 가운데 정면 2칸·측면 2칸은 대청으로 구성되어 있다. 또한 동쪽 정면 1칸·측면 2칸 중 뒤는 방이고, 앞은 대청과 연결된 누마루가 있다. 그 앞에는 정면 3칸· 측면 2칸인 기국정이 있다. 남간정사는 독특한 정원을 가지고 있다. 대청 밑으로 계곡물이 흘러 남간정사 앞의 넓은 연못을 형성한다. 연못 주위로 봄에는 벚꽃·진달래 등 꽃 향기가 가득하고, 가을에는 단풍으로 눈이 즐겁다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127145112183.jpg
우암사적공원,대전 동구 충정로 53,05:00 ~ 21:00 / 연중무휴,Historical attractions,"조선후기 우암 송시열 선생이 제자들을 가르치던 곳으로 그 경치가 독특하여 대전광역시 유형문화재 제 4호로 지정된 남간정사가 바로 이 우암사적공원내에 있다. 또 남간정사 뒤쪽 높은 곳에 세워진 사당으로 우암 송시열 ·수암 권상하·석곡 송상민의 위패를 모신 곳으로 남간사가 있다. 기국정은 우암 송시열 선생이 벼슬을 사양하고 돌아와 세운 건물인데 그주변에 무성했던 구기자와 국화에서 유래되었으며 선비의 은둔과 친족의 단란함을 의미한다고 한다. 이외에도 인근에 대전시 유형문화재 제 1호인 송자대전판목과, 기념물 제 1호인 박팽년선생 유허지, 유형문화재 제 10호인 고산사 대웅전, 문화재자료 제1호인 삼매당 등 많은 유적지들이 있다.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5CZnCPZAejBtM0s7c4xc8FCrb32f9ozwIUA&s
도산서원,대전 서구 남선로 8,00:00 ~ 24:00,Historical attractions,"대전광역시문화재자료 제3호로 지정되어 있는 도산서원은 만회 권득기 선생과 그의 아들인 탄옹 권시 선생을 추모하기 위하여 1693년(숙종 19년)에 유림들이 세운 사립교육기관이다. 만회(晩悔) 권득기는 41세에 문과에 급제하여 예조좌랑을 지냈으나 광해군 때 벼슬을 버리고 도학(道學)에 정진하면서 여생을 보낸 절개가 굳은 선비였다. 그 아들인 탄옹(炭翁) 권시 또한 높은 학행(學行)으로 대군사부, 한성부좌윤 등에 천거되었으나 이를 거절하고 낙향하여 탄방동에 서당을 짓고 도학(道學)과 예학(禮學)에 더욱 정진하였다.서원에는 강당으로 사용한 명교당, 유생들의 숙소인 지선재, 시습재와 권득기, 권시 두분을 모시는 함덕사가 있다. 이마을 뒷산을 도산이라 하여 도산서원이라고 불렀다고 한다. 대원군의 서원철폐령으로 헐리었다가 두 차례 걸쳐 복원하였다. 근처에 탄옹선생의 묘소가 함께 있다.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnoBeb8FBZQI5SCItuOci_ZYVxCHwB5Arnqg&s
옛 대전형무소,대전 중구 중촌동 16-11,00:00 ~ 24:00,Historical attractions,"옛 대전형무소는 3·1만세운동으로 독립운동가들의 수감시설이 부족해지자 이를 해결하기 위해 1919년에 조선총독부에서 개설했다. 일제강점기 기간 동안 도산 안창호, 여운형, 박헌영, 김창숙 등 수많은 독립운동가가 수감되어 옥고를 치렀다. 한국전쟁 당시에는 연합군에 쫓기던 북한군이 1,300여 명의 양민을 포함한 6,000여 명을 집단 학살한 참혹한 역사의 현장이기도 하다. 대전형무소를 유성구로 이전하면서 남쪽 망루와 우물만 남기고 철거해 옛 모습은 찾아볼 수 없다. 그러나 민족의 비극을 되돌아보기 위해 보존되고 있는 망루와 우물은 역사의 한 자취로써 의미를 가진다.",https://lh3.googleusercontent.com/proxy/n68BtIcQ3kbCY9nVIsuEo6Rse-S1QzzkouOrus7GCiQDu_AfXthJ_Ji77z_K-tc07ee8LJuuom4URgQkilxIYXjU2MABGFfcfjR8ld4Sp1eySdfzgG0M8t7zbsT7Fj8
봉소루,대전 중구 봉소루로 29,00:00 ~ 24:00,Historical attractions,"대전광역시 중구 석교동에 위치해있는 조선시대 누각이다. 석교동의 봉무산 언덕에 봉소재 남분붕이 강학소를 지어 후학을 양성하던 유적이다. 봉소루의 명칭은 원래 남분붕의 호에서 취하여 봉소재라고도 불렀다고 한다. 봉소는 봉황새의 보금자리라는 뜻으로 봉소재는 후진을 양성하는 교육도장을 가리키는 말이다. 규모는 웃방. 대청. 안방. 부엌이 있는 안채와 서재. 누가 있는 바깥채 2동으로 구성되어있다. 안채는 광복전에, 봉소루는 1970년대 초에 중수하였으나 형태는 본래의 모습을 유지하고 있다. 현재 대전문화재자료 제 35호로 지정되어있다.",https://dh.aks.ac.kr/~heritage/wiki/images/thumb/4/44/%EB%B4%89%EC%86%8C%EB%A3%A8.jpg/360px-%EB%B4%89%EC%86%8C%EB%A3%A8.jpg
