Name,Address,Operation,Type,Explanation,Img
이사동 민속마을,대전 동구 이사로 102-21,00:00 ~ 24:00,Representativ attractions,"Isa -dong, which was formed along the wide valley behind Bomunsan Mountain, was settled by the Eunjin Song family 500 years ago.Isa -dong, which was a village village, became a collection village filled with the Jangji of the Eunjin Song family naturally over time.A huge cemetery composed of more than 1,000 tombs and various stones in the back of the village.It is like a well -designed park in harmony with the cemetery of 7,000 troubles and trees that protect the cemetery.The cemetery, which is a family who has been a family of Uam Song Si -yeol, who focuses on Yehak, can see the love and gratitude of the descendants' ancestors.The harmony between the cemetery, which is comparable to the UNESCO World Heritage Site, and the village, which has been in place for 500 years, can be seen as a world heritage in that it can observe the life and worldview of the four generations.",https://daejeontour.co.kr/upload/atch/tourspot/20211222110334303.jpg
오-월드,대전 중구 사정공원로 70,09:30 ~ 18:00,Representativ attractions,"Daejeon O -World is the largest theme park in the sub -central region, which can be enjoyed by the whole family, which consists of a complex space of 'Ju Land+Flower Land+Joyland+Birdland+Night Universe'.In Ju Land, there is a Korean Wolf Safari, which can only be found in OWWED, and you can see African Safari and other animals that can live wildlife on the bus.You can experience thrilling rides such as Giant Rop, Furumride, and Super Viking in Joyland, and enjoy a fantastic bird experience with rare and tropical gardens, the world of fragrant flowers with flowers, water and light.there is.In addition, you can experience fantastic nights such as hologram shows and music fountains at a mysterious night universe with various digital media devices and interesting storytelling.",https://daejeontour.co.kr/upload/atch/tourspot/20230228174318022.jpg
뿌리공원,대전 중구 뿌리공원로 79,"3월~10월 : 06:00~22:00, 11월~2월 : 07:00~21:00 / 연중무휴",Representativ attractions,"It is a loyalty education center that established sculptures that symbolize the surname for the first time in the world to help everyone know their roots, cultivate the path of path Hyochin, and remind them of the descendants of the Hankyoreh.Sexual sculptures that can regain their roots, deep -rooted spring water that embodies 12 support, waterside stage where various events can be performedThere are various facilities such as the intestines and the Natural Observatory. Major facilities include 30 mini -motor cars (2 people), traffic signs, pedestrians, etc.There is a natural observation source with the wildcare complex.(Jakjeong), chestnut complexes, promenades, waterside stages, fountains, and chronic beams (Lava Dam) are beneficial parks.",https://daejeontour.co.kr/upload/atch/tourspot/20220127095333740.jpg
수운교천단,대전 유성구 자운로245번길 80,06:00 ~ 18:00,Historical attractions,"Sugun Bridge, one of our nation's religions, is not widely known to the public.It is said that the value is very high in terms of estimating about 60,000 people nationwide, and that it is a wide range of thoughts and modern -time religious society.As a symbol of Sugun Bridge, the cheondan is located in Dosolcheon (Daejeon Tangible Cultural Property No. 28) located in Geumbyeongsan, Daejeon, where the Sugun Bridge Headquarters is located.This temple is a place that worships God, with 3 squares on the front and 2 squares on the side.There are Gwangdeokmun and Jonggak in the grounds, and there are Bongyeonggak, Lawyer's Party, Welfare Center, Office, and Parking Lot.Jaun Solbat Park is well established right in front of the Suun Bridge Temple, so it is a great place to exercise and walk and rest.",https://daejeontour.co.kr/upload/atch/tourspot/20220127145854644.jpg
계족산성,대전 대덕구 산디로 79-70,09:00 ~ 24:00,Historical attractions,"It is a Temo -style acid built along the ridge at the summit of Jangdong Gyejok (420m above sea level) in Daejeon.This acid has been known to have been built by Baekje, but it was found that it was accumulated in Silla through excavation in 1998-99.The height of the acid is about 7-10m, and the door is made in the east, west and south.In the castle, a large well made in the Three Kingdoms period was found, and in the Seongnae building site, it was found that the Goryeo Dynasty and the Joseon Dynasty were found and used until the Joseon Dynasty.It was revealed by the excavation that the method of stacking the castle was accumulated in the same way as the Silla Samsan (Historic No. 235) in Boeun, and the oldest of the excavated earthenware was Sillato in the mid -6th century.Later, the earthenware form is a small number of Baekje, and there are a number of Silla -based earthenware.Gyejoksanseong was found to have been accumulated by Silla by new excavation results, but it is still controversial, and is made by Silla or Baekje in the mid -6th century, and shows the strategic importance of Daejeon fat at that time.",https://daejeontour.co.kr/upload/atch/tourspot/20220127174746107.bmp
미륵원,대전 동구 마산동 135-2,00:00 ~ 24:00,Historical attractions,"'Maitreyawon', which was built by Sijo Hwang Yun -bo, Sijo Hwang -hwang, Goryeo, was located in Masan -dong next to Daecheongho, which was the way to connect Seoul and Young and Honam.His descendants operated Maitreya -won in three generations and made many good deeds.It was a filial piety of a private social welfare organization today, providing free accommodation to travelers in front of it and relieving for homeless people who wander without haven.The descendants also named the pavilion so that the name was Namru and allowed travelers to escape the heat.The good deeds of Hwang Yun -bo were praised by everyone, and the heart of Chungcheong -do was widely known.Even the famous people of the day, such as Jung -in and Song Si -yeol, can also guess the status as they delay the restraint of the Sae Young -ki.Maitreyawon is the oldest and most famous of the seven won (a kind of inn -installed inn) in Daejeon, and is very historic in that it is the only place to grasp the site.The huge ruins of the east, west, and 60m south of North and South are submerged in Daecheong Lake, so they cannot see the magnificence, but Jaesil and Nam -ru are restored to the current site and feel the good deeds of Hoe Deok Hwang.",https://daejeontour.co.kr/upload/atch/tourspot/20220127145028225.jpg
숭현서원,대전 유성구 엑스포로251번길 36,00:00 ~ 24:00,Historical attractions,"Sung -hyun Seowon, designated as Daejeon Metropolitan Monument No. 27 in 1992, is the first Seowon founded in Daejeon and the first Seowon received.In this Seowon, eight people were oriented, including Jung Kwang -pil, Chungam Kim Jong, Gyuam Song In -soo, Four Seasons Kim Jang -saeng, Dongchun Song Joon -gil, Wooam Song Si -yeol, Jukchang Lee Si -jik, and Ya Eun Song Si -young.It was rewritten by the closed door at the time of the elimination of the Seowon of Daewon -gun, and the old ruins are not too much.There is a shrine where eight strings are held behind the surrounding landscape, Younggwi -ru, Mystery, and Initiative, and the Initiative.If you want to feel the mood of the old Seowon, you may want to explore Sunghyun Seowon here.",https://tong.visitkorea.or.kr/cms/resource/09/3065109_image2_1.JPG
회덕향교대성전,대전 대덕구 대전로1397번안길 126,00:00 ~ 24:00,Historical attractions,"Hoeokhyanggyo, which was built in the early days of Joseon, rebuilt the burning of the Imjin War in 1600, and then then rewritten in the fall of 1812, reaching today.During the Joseon Dynasty, Daedeok -gu, Daejeon was classified as Hoe -deok -hyun, and Eupnae -dong was an administrative center of Hoe -deok -hyun at that time.Hoeokhyanggyo was located southward at the foot of the mountain, which is about 400 meters north of Hoeokgwana (now the vacant lot next to Hoeok 1 -dong office).In the center, Songjo 4 Prefecture (Ju -don, Jung Ho, Jung -yi, Ju -hee), Korea 18 Prefecture (Sulgong, Choi Chi -won, Anyu, Jung Mong -ju, Kim Uk -pil)· The plaque of Cho Kwang -jo, Lee Hwang, Ii, Song Joon -gil, Cho Heon, Song Si -yeol, etc.) is oriented to both walls of east and west.In Daesungjeon, the constitutional hall, the building, and general forests in the region gather together on the day of February and August of the lunar calendar.Myeong -ryundang is an eight -piece roof house with 5 spaces on the front and two sides on the side.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEzef9eh4b9C_5QMeBQHX9U4Ur6tNSSR5QiA&s
쌍청당,대전 대덕구 쌍청당로 17,11:00 ~ 18:00,Historical attractions,"On March 18, 1989, it was designated as the Tangible Cultural Property No. 2 in Daejeon, and was a separate party of Songyu, which had been sustained in the early days of Goryeo Chosun.Ssangcheongdang is a party that was built by Park Pang -yeon, who was usually a lot of transmissions and interions.Ssangcheongdang is a southwest building with 3 squares on the front and 2 squares on the podium stacked in granite.The right two spaces are Daecheong and the left one is ondol room.The upper part was used as a half -handed side and the bottom was used as a half -handed side and the bottom.All of them used the square pillars to support the brush and torment and supported the girder under the absence of beekeeping type.This representative cultural property, which preserves its original appearance and can examine the architectural style of the early Joseon Dynasty, is managed in Eunjin Song.",https://www.heritage.go.kr/unisearch/images/tangible_cult_prop/thumb/2023030816543900.JPG
대전 소대헌ㆍ호연재 고택,대전 대덕구 동춘당로 70,00:00 ~ 24:00,Historical attractions,"The building, designated as Daejeon Metropolitan City Folk Cultural Heritage No. 2, is an old house that begins to live with the second grandson Song Byung -ha of Dongchun Party Song Joon -gil.When you enter the gate, there is a big love chae on the left, and a small love chae on the right.When you enter the Jungmun on the left side of the small love chae, there is a concise -shaped pillar with a square pillar on the ‘ㄱ’ shaped plane.Anchae has recently changed its prototypes by putting a glass bit on Daecheong.The small love in front of the Anchae is 8 squares on the front and two sides on the side of the octagonal army roof.On the right side of the fence is a large pond with artificial islands in the middle, adding to the wind.",https://dapsa.kr/blog/wp-content/uploads/2023/09/%EB%8C%80%EC%A0%84_%EC%86%8C%EB%8C%80%ED%97%8C%C2%B7%ED%98%B8%EC%97%B0%EC%9E%AC_%EA%B3%A0%ED%83%9D.jpg
조선의 정원서재 송시열의 남간정사,대전 동구 충정로 53,00:00 ~ 24:00,Historical attractions,"Wooam Song Si -yeol (1607 ~ 1689) was a character who drew a stroke in the history of Chosun Confucianism.Namanjeongsa is a place where Song Si -yeol, the best scholar of Joseon Dynasty, taught the disciples.Currently, Namkanjeongsa Temple, located next to the entrance of Uam Historic Park, is a south -facing building with 4 squares on the front and 2 squares on the side.The west is 1 squares in the west, 2 squares on the side, and 2 squares in the middle and 2 squares on the side are composed of Daecheong.In addition, one of the two spaces on the east and 2 squares on the east is the back room, and the front is the Numaru connected to the Daecheong.In front of it is a Ki -guk, which is 3 and 2 in front.Namanjeongsa has a unique garden.Valley water flows under Daecheong to form a wide pond in front of the male affairs.In the spring around the pond, it is full of flowers such as cherry blossoms and rhododendrons, and in autumn, the eyes are enjoyable with autumn leaves.",https://daejeontour.co.kr/upload/atch/tourspot/20220127145112183.jpg
우암사적공원,대전 동구 충정로 53,05:00 ~ 21:00 / 연중무휴,Historical attractions,"In the late Joseon Dynasty, Mr. Song Si -yeol taught the disciples, and the scenery was unique, and the Namanjeongsa Temple was designated as the 4th Tangible Cultural Property No. 4 in Daejeon.In addition, the shrine was built at the high behind the men's affairs, and there is a male history of Uam Song Si -yeol, Suam Kwon Sang -ha, and Seokgok Song Sang -min.Ki -Guk -Jung is a building that Uam Song Si -yeol refuses to return to the crest, and is derived from the wolfberry and chrysanthemums that were lush around them, and meant the inhumanity of Seonbi's secluded and relatives.In addition, there are many ruins such as Songja Daejeon Panmok, the first tangible cultural property of Daejeon City, and Park Pang -yeon, the first monument, Gosan Temple, Gosansa Temple, and Sammae -dang.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5CZnCPZAejBtM0s7c4xc8FCrb32f9ozwIUA&s
도산서원,대전 서구 남선로 8,00:00 ~ 24:00,Historical attractions,"Dosan Seowon, designated as Daejeon Metropolitan City Cultural Heritage Data No. 3, is a private educational institution established by Yurim in 1693 (Sukjong 19) to commemorate Kwon Deuk -ki and his son Tanong Kwon Si.Kwon Deuk -ki was a 41 -year -old and led to a rescue of the Literature, but he was a solid incision that sent the life of the crest in Gwanghae -gun and devoted himself to the school.The son, Tanong Kwon, was also a high school.There are Myeongyo -dang, which is used as an auditorium, Jisunjae, practical materials, Kwon Deuk -gi, and Kwon -shi.This village is called Dosan and Dosan Seowon.He was headed by Daewon -gun's Seowon Railroad and restored twice.There is a graveyard of Tanong.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnoBeb8FBZQI5SCItuOci_ZYVxCHwB5Arnqg&s
옛 대전형무소,대전 중구 중촌동 16-11,00:00 ~ 24:00,Historical attractions,"The former Daejeon Prison was opened by the Governor -General of Korea in 1919 to solve this problem when independence activists were shortened due to the March 1st Movement.During the Japanese colonial period, numerous independence activists such as Dosan Ahn Chang -ho, Yeo Un -hyung, Park Heon -young, and Kim Chang -sook were imprisoned.During the Korean War, North Korean troops, who were chased by Allied forces, were also a terrible history of massacre of more than 6,000 people, including 1,300 people.While moving Daejeon Prison to Yuseong -gu, the old look is not found by removing only the south watchtower and well.However, the watchtower and wells that are preserved to look back on the tragedy of the nation are meaningful as a trace of history.",https://lh3.googleusercontent.com/proxy/n68BtIcQ3kbCY9nVIsuEo6Rse-S1QzzkouOrus7GCiQDu_AfXthJ_Ji77z_K-tc07ee8LJuuom4URgQkilxIYXjU2MABGFfcfjR8ld4Sp1eySdfzgG0M8t7zbsT7Fj8
봉소루,대전 중구 봉소루로 29,00:00 ~ 24:00,Historical attractions,"It is a pavilion of the Joseon Dynasty located in Seokgyo -dong, Jung -gu, Daejeon.Bong So -jae Male Bung Bung was built on the hill of Bongmu Mountain in Seokgyo -dong to cultivate the after school.The name of Bongsoru was originally called Bong So -jae in the lake of the southern bang.Bongso means the phoenix of the phoenix, and Bong So -jae refers to the educational stamp that trains backward.The scale is a room.Daecheong.inner room.Anchae and library with kitchen.It consists of two outside vegetables.Anchae was in the war and Bongsoru was in the early 1970s, but the form remained its original appearance.It is currently designated as Daejeon Cultural Heritage Data No. 35.",https://dh.aks.ac.kr/~heritage/wiki/images/thumb/4/44/%EB%B4%89%EC%86%8C%EB%A3%A8.jpg/360px-%EB%B4%89%EC%86%8C%EB%A3%A8.jpg
유회당,대전 중구 운남로85번길 32-20,연중무휴,Historical attractions,"It is a building built in 1707 (Sukjong 33) in 1707 (Sukjong 33) to sacrifice and reading and educating the parent's tombs on the hill after the building.There is an old signboard on the right side of Daecheong inside the party, and it is taken from Kwon Deuk -ki's crucifixion and Kwon's 'Sagal Old City' admonition.There is a plane on the left side, and in 1720, Kwon Lee -jin wrote a board.The name of the building, which is the name of the building, means the filial piety that always wants to have an effective heart that is eager to think of parents.The building is located south of the hill, so you can feel the dignity of the building by looking down at the field.The party is designated as Tangible Cultural Property No. 6.",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e57f2121-0f5c-43a4-a2a4-4a38602f7e21
고산사 대웅전,대전 동구 대전로316번길 205,04:30 ~ 18:00 / 연중무휴,Historical attractions,"The temple building in Daeseong -dong, Dong -gu, Daejeon, was founded in 886 (Silla Jeonggang King), and Gosansa, which was rebuilt in 1636, was preserved in the old form even though it was rebuilt six times until the Joseon Dynasty.In the grounds, there are bisexual angle and paradise preservation centering on Daeungjeon, and two bankruptcy on the left in front of Daeungjeon.When repairing the Daeungjeon, the statue of the Legal Mountain Legislative Temple was found, which shows that the old name of Gosan was the legal business.Daeungjeon is built in the southeast of 3 squares and 2 squares on the side of the stone podium.It was a Dapo -style building that was popular in the Joseon Dynasty.On March 18, 1989, Daejeon Metropolitan City Tangible Cultural Property was designated as No. 10.",https://www.heritage.go.kr/unisearch/images/treasure/thumb/2022040715490300.JPG
문충사,대전 동구 동부로73번길 44,00:00 ~ 24:00,Historical attractions,"Munchungsa, designated as Daejeon Metropolitan City Cultural Heritage Data No. 4, is located in Dong -gu, Daejeon.It is a shrine that enshrines the plaque and spirit of the brothers and the brothers of Song Byung -sun and Song Byung -soon, who are the Confucian scholars and allegations of allegations.It was originally built in Yeongdong, Chungcheongbuk -do, in 1908, and moved to his current position as his current country in 1966 as one of Song Byung -sun's 60th anniversary project.The Hongsalmun Gate stands at the entrance, and there is an auditorium with a board of Yongdong Seowon in the outer Sammun, a towering gate of 1 side of the side, and one side of the side.There is.Yongdong Seowon was built in 1970 and followed the Seowon architecture style of the Joseon Dynasty.",https://www.cha.go.kr/unisearch/images/cultural_material/thumb/1659695.jpg
진잠향교대성전,대전 유성구 교촌로 67,09:00 ~ 17:00 / 휴무일 : 공휴일 명절,Historical attractions,"On March 18, 1989, Daejeon Metropolitan City Cultural Heritage Data was designated as No. 6.Jinjam Hyanggyo was founded in 1405 (Taejong 5), the Joseon Dynasty, and has been the birthplace of studying in the vicinity of Daejeon with Hoeok Hyanggyo.It is composed of buildings such as Daeseongjeon, Myeong -Ryun Party, and East -West Yangjae, and it is said to have been heavy water several times since its founding.Hyanggyo has a three -gate -shaped omnipotent gate that will rising to the entrance with a low Yasan backdrop, and the East -West material is placed facing each side of the east gate.There is Myeong -ryun Party, which taught studying inside, and when you go through the Inner Sammun on the back, there is a Daesungjeon surrounded by a ghost fence on the high land.Hongsalmun gate is installed at the entrance of Hyanggyo, and Hamabi is also built to see the status of the time.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv4RXgjf24oOHjixJdJ02N43eAbooN9WopuQ&s
현대프리미엄아울렛 대전,대전 유성구 테크노중앙로 123,,Cultural attractions,"ㅇ The Daejeon Literature Museum opened on December 27, 2012 to systematically collect, preserve, and study the works and historical feeds of local literary people to establish the identity of Daejeon literature and to inherit the literary tradition.It serves as a center of local literature, provides a place for paragraphs and exchanges, and is conducting various activities such as exhibiting, education, and literary events so that everyone can know, enjoy and communicate with literature.ㅇ Main facilities: permanent exhibition room, planning exhibition room, multipurpose lecture room, literary love room, etc.",https://cdn.daejonilbo.com/news/photo/202209/2025965_442886_1628.jpg
여진불교미술관,대전 유성구 엑스포로 624,10:00 ~ 17:00 / 휴무일 : 매주 월요일,Cultural attractions,"It is a place to inherit the awareness of our fadds by expressing the traditional culture of traditional cultures in various parts of the country for the purpose of inheriting the disappearing traditional culture.It fosters intangible cultural assets to connect the Mac of Buddhist art, and is a theme park called traditional Buddhist Art Park.There is also a break room and rest area for visitors and a life Buddhist experience hall.There is also a promenade where you can see the Buddha statue and can see the Buddha statue.Admission is free and you can watch from 10 am to 5 pm.Monday is closed.",https://cdn.imweb.me/upload/S20190806b57d6d917403a/e025c3a92eadd.jpg
국립대전현충원해당,대전 유성구 현충원로 251,,Cultural attractions,"Many famous nouns are buried, including Royal Kyu of Korea's first film Arirang, Son Ki -jung, the gold medalist of the Berlin Olympic marathon, and President Choi Kyu -ha, the 10th president of Korea.In addition, Yeonpyeong -do bombardees and Cheonan ships, who are in the country, are also asleep in the three cemetery of the Cemetery.The National Daejeon County is also in charge of the role of Hokkuk Park because of the participation yards such as volunteer activities to purify the environment around the cemetery and the surrounding environment of the cemetery.In particular, the Mika 129, a steam locomotive operated until the end of Korea, is exhibited at the Hokuk Railway Memorial Hall.This train, a registered cultural property, is a train that contains historical value as a train used in the US military's rescue operation during the Korean War.",https://daejeontour.co.kr/upload/atch/tourspot/20220127152058479.jpg
대전선사박물관해당,대전 유성구 노은동로 126,"09:00 ~ 19:00 / 하절기(3월~10월)→10:00~19:00 동절기(11월~2월)→10:00~18:00 / 휴무일: 명절, 1.1, 추석, 설날, 매주 월요일",Cultural attractions,"The Korean Museum, located in the Ruins of Noeun -dong (Monument No. 38) excavated in 1997, operates five exhibition rooms from the Paleolithic Age to Iron Age, where you can see the prehistoric culture of Daejeon City, including the Noeunseonsa Culture Center.In addition, it has an outdoor experience center and an experience and an archive, which is also in the spotlight as a learning space for students.",https://mblogthumb-phinf.pstatic.net/MjAyMjA4MTBfMjU3/MDAxNjYwMTE5ODA5OTA2.xVVCS995KkUOZAwgY5WynP99fi7DioRxXtbH2gCfZl0g.Wjt6ezltu1iW7bH_z2KwCoZbNe6M5uci9p6XvQtjxQIg.JPEG.storydaejeon/SE-4e94c20e-a3f8-435e-a57a-9129e58e39bd.jpg?type=w800
충남대학교 정심화국제문화회관,대전 유성구 대학로 99,휴무일 : 둘째주 넷째주 토 / 일요일,Cultural attractions,"According to Mr. Kim Bok -soon, who donated a real estate that had sold gimbap for the lifetime to Chungnam National University for free, he originated from attempting to establish a small scale 'International Hall', which was named after Mrs. Oh Deok -gyun in 1990.In 1995, when he was in office of Chung Deok -ki, he was approved by the government for planning to build a large -scale orthodox international cultural center.Mr. Lee Bok -soon's donated property did not make a real contribution to securing financial resources for the establishment of the International Cultural Center, but he established a 500 million won scholarship fund in honor of his own six -year -old project.It is said that it was decided.",https://jsh.cnu.ac.kr/home/image/sub/int1_2_img01.jpg
